run_dir,setting,language_mode,language,model_family,seed,eval_language,macro_f1_normal,macro_f1_global_single_mask,delta_macro_f1_global_single_mask,n_has_mwe_prev_next_global_single_mask,n_no_mwe_prev_next_global_single_mask,macro_f1_has_mwe_prev_next_global_single_mask,macro_f1_no_mwe_prev_next_global_single_mask,macro_f1_global_n_mask,delta_macro_f1_global_n_mask,n_has_mwe_prev_next_global_n_mask,n_no_mwe_prev_next_global_n_mask,macro_f1_has_mwe_prev_next_global_n_mask,macro_f1_no_mwe_prev_next_global_n_mask,macro_f1_targeted_context_mask,delta_macro_f1_targeted_context_mask,n_has_mwe_prev_next_targeted_context_mask,n_no_mwe_prev_next_targeted_context_mask,macro_f1_has_mwe_prev_next_targeted_context_mask,macro_f1_no_mwe_prev_next_targeted_context_mask,delta_macro_f1_global_n_minus_single
zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.48571428571428577,0.25,-0.23571428571428577,0,6,,0.25,0.25,-0.23571428571428577,0,6,,0.25,0.25,-0.23571428571428577,0,6,,0.25,0.0
zero_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6466406787434074,0.43054350789362805,-0.2160971708497793,46,161,0.46386946386946387,0.4144518604372327,0.41454545454545455,-0.2320952241979528,46,161,0.46386946386946387,0.39670902574128375,0.40759782195770544,-0.23904285678570192,46,161,0.42328358208955225,0.39670902574128375,-0.015998053348173502
zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6881277621534752,0.480023923444976,-0.20810383870849913,46,161,0.5436507936507937,0.4385353095030514,0.49816698202459786,-0.1899607801288773,46,161,0.5964912280701755,0.4385353095030514,0.5070414253373711,-0.1810863368161041,46,161,0.5705159705159706,0.4660890029952931,0.01814305857962184
zero_shot__EN_PT_GL__target_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.8285714285714285,0.625,-0.20357142857142851,0,6,,0.625,0.625,-0.20357142857142851,0,6,,0.625,0.625,-0.20357142857142851,0,6,,0.625,0.0
zero_shot__EN_PT_GL__target_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.6666666666666666,0.48571428571428577,-0.18095238095238086,0,6,,0.48571428571428577,0.48571428571428577,-0.18095238095238086,0,6,,0.48571428571428577,0.48571428571428577,-0.18095238095238086,0,6,,0.48571428571428577,0.0
zero_shot__EN_PT_GL__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6924684612091758,0.5223757299529981,-0.17009273125617774,46,161,0.6019230769230769,0.47163619315518046,0.5094246031746031,-0.18304385803457268,46,161,0.6019230769230769,0.46058336618052825,0.5208333333333334,-0.17163512787584245,46,161,0.6461538461538461,0.46058336618052825,-0.012951126778394939
zero_shot__EN_PT_GL__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.48571428571428577,0.3333333333333333,-0.15238095238095245,0,6,,0.3333333333333333,0.625,0.13928571428571423,0,6,,0.625,0.625,0.13928571428571423,0,6,,0.625,0.2916666666666667
zero_shot__EN_PT_GL__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.48571428571428577,0.3333333333333333,-0.15238095238095245,0,6,,0.3333333333333333,0.3333333333333333,-0.15238095238095245,0,6,,0.3333333333333333,0.3333333333333333,-0.15238095238095245,0,6,,0.3333333333333333,0.0
zero_shot__EN_PT_GL__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6273148148148149,0.48673066064370407,-0.1405841541711108,46,161,0.5892857142857142,0.455583402951824,0.4850243902439024,-0.14229042457091245,46,161,0.6223316912972086,0.4451574569221628,0.46875076381590197,-0.1585640509989129,46,161,0.5379464285714286,0.4451574569221628,-0.001706270399801646
zero_shot__EN_PT_GL__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.8222818341855982,0.6909529425010814,-0.13132889168451678,57,367,0.5049627791563275,0.7155943844880046,0.7038131801518345,-0.11846865403376372,57,367,0.5991048593350384,0.712156862745098,0.7038131801518345,-0.11846865403376372,57,367,0.5991048593350384,0.712156862745098,0.01286023765075306
zero_shot__EN_PT_GL__target_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.7918925551614127,0.6672288553060032,-0.12466369985540948,57,367,0.594017094017094,0.6677739123929227,0.6236658202817789,-0.1682267348796338,57,367,0.5739202657807309,0.6180493606898603,0.6342663847780127,-0.1576261703834,57,367,0.6157303370786517,0.6231696428571428,-0.04356303502422432
