run_dir,setting,language_mode,language,model_family,seed,macro_f1_normal,macro_f1_global_single_mask,delta_macro_f1_global_single_mask,n_has_mwe_prev_next_global_single_mask,n_no_mwe_prev_next_global_single_mask,macro_f1_has_mwe_prev_next_global_single_mask,macro_f1_no_mwe_prev_next_global_single_mask,macro_f1_global_n_mask,delta_macro_f1_global_n_mask,n_has_mwe_prev_next_global_n_mask,n_no_mwe_prev_next_global_n_mask,macro_f1_has_mwe_prev_next_global_n_mask,macro_f1_no_mwe_prev_next_global_n_mask,macro_f1_targeted_context_mask,delta_macro_f1_targeted_context_mask,n_has_mwe_prev_next_targeted_context_mask,n_no_mwe_prev_next_targeted_context_mask,macro_f1_has_mwe_prev_next_targeted_context_mask,macro_f1_no_mwe_prev_next_targeted_context_mask,delta_macro_f1_global_n_minus_single
zero_shot__EN__previous_target_next_True_highlight_glosses__logreg_word2vec__seed51,zero_shot,per_language,EN,logreg_word2vec,51,0.5577686562142521,0.5521502221477073,-0.005618434066544831,57,367,0.5095398428731762,0.5475999524743064,0.5571665540332985,-0.0006021021809535787,57,367,0.5095398428731762,0.5531036531036531,0.5546616608563512,-0.0031069953579009324,57,367,0.47865853658536583,0.5531036531036531,0.005016331885591252
zero_shot__EN__target_True_none_ner__logreg_tfidf__seed51,zero_shot,per_language,EN,logreg_tfidf,51,0.6579256316524507,0.6543606923506421,-0.0035649393018085673,57,367,0.5476190476190477,0.6566732002851035,0.636675235646958,-0.02125039600549261,57,367,0.5265780730897011,0.6375052913785806,0.6248977616051011,-0.03302787004734953,57,367,0.5128205128205128,0.6316165153576766,-0.017685456703684044
zero_shot__PT__target_True_none_glosses__logreg_word2vec__seed51,zero_shot,per_language,PT,logreg_word2vec,51,0.3802395209580838,0.3783783783783784,-0.0018611425797053771,46,161,0.30303030303030304,0.39700374531835203,0.3783783783783784,-0.0018611425797053771,46,161,0.30303030303030304,0.39700374531835203,0.3783783783783784,-0.0018611425797053771,46,161,0.30303030303030304,0.39700374531835203,0.0
one_shot__PT__previous_target_next_True_none_empty__logreg_word2vec__seed51,one_shot,per_language,PT,logreg_word2vec,51,0.3806646525679758,0.3806646525679758,0.0,42,163,0.3114754098360656,0.3962962962962963,0.3806646525679758,0.0,42,163,0.3114754098360656,0.3962962962962963,0.3806646525679758,0.0,42,163,0.3114754098360656,0.3962962962962963,0.0
zero_shot__PT__previous_target_next_True_none_glosses__logreg_tfidf__seed51,zero_shot,per_language,PT,logreg_tfidf,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__target_True_highlight_empty__logreg_tfidf__seed51,zero_shot,per_language,PT,logreg_tfidf,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
one_shot__PT__previous_target_next_True_none_empty__logreg_tfidf__seed51,one_shot,per_language,PT,logreg_tfidf,51,0.3806646525679758,0.3806646525679758,0.0,42,163,0.3114754098360656,0.3962962962962963,0.3806646525679758,0.0,42,163,0.3114754098360656,0.3962962962962963,0.3806646525679758,0.0,42,163,0.3114754098360656,0.3962962962962963,0.0
zero_shot__PT__previous_target_next_True_none_ner__logreg_word2vec__seed51,zero_shot,per_language,PT,logreg_word2vec,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__previous_target_next_True_none_glosses__logreg_word2vec__seed51,zero_shot,per_language,PT,logreg_word2vec,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__previous_target_next_True_highlight_ner__logreg_word2vec__seed51,zero_shot,per_language,PT,logreg_word2vec,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__previous_target_next_True_highlight_glosses__logreg_tfidf__seed51,zero_shot,per_language,PT,logreg_tfidf,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__previous_target_next_True_highlight_empty__logreg_word2vec__seed51,zero_shot,per_language,PT,logreg_word2vec,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__previous_target_next_True_none_empty__logreg_tfidf__seed51,zero_shot,per_language,PT,logreg_tfidf,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__target_True_none_empty__logreg_tfidf__seed51,zero_shot,per_language,PT,logreg_tfidf,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__target_True_none_glosses__logreg_tfidf__seed51,zero_shot,per_language,PT,logreg_tfidf,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__target_True_highlight_ner__logreg_tfidf__seed51,zero_shot,per_language,PT,logreg_tfidf,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__target_True_highlight_glosses__logreg_tfidf__seed51,zero_shot,per_language,PT,logreg_tfidf,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
zero_shot__PT__previous_target_next_True_highlight_glosses__logreg_word2vec__seed51,zero_shot,per_language,PT,logreg_word2vec,51,0.3802395209580838,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.3802395209580838,0.0,46,161,0.30303030303030304,0.39925373134328357,0.0
